eta_x,eta_y,eta_psi,vel_ref,head_ref
-236.699189928001,34.2768650751785,2.96111721799252,0,2.96111721799252
-236.699498010055,34.2756580427305,2.9611661532404,0,2.9611661532404
-236.699804916915,34.2744527358077,2.96121466289303,0,2.96121466289303
-236.70011066611,34.2732491499485,2.96126274463401,0,2.96126274463401
-236.700415274488,34.2720472808022,2.96131039649846,0,2.96131039649846
-236.700718758251,34.2708471241236,2.96135761685283,0,2.96135761685283
-236.701021132985,34.2696486757672,2.96140440437559,0,2.96140440437559
-236.701322413691,34.268451931682,2.96145075803913,0,2.96145075803913
-236.701622614817,34.2672568879068,2.96149667709242,0,2.96149667709242
-236.701921750281,34.2660635405649,2.96154216104468,0,2.96154216104468
-236.702219833499,34.26487188586,2.96158720964992,0,2.96158720964992
-236.702516982748,34.2636817473243,2.96163186749986,0,2.96163186749986
-236.702812998613,34.2624934671817,2.96167604553808,0,2.96167604553808
-236.703107999748,34.2613068687216,2.96171978879709,0,2.96171978879709
-236.703401997792,34.2601219484291,2.96176309787185,0,2.96176309787185
-236.703695003992,34.2589387028505,2.96180597353601,0,2.96180597353601
-236.703987029224,34.2577571285901,2.96184841673067,0,2.96184841673067
-236.704278084009,34.2565772223069,2.96189042855386,0,2.96189042855386
-236.704568178531,34.2553989807119,2.96193201025048,0,2.96193201025048
-236.704857322655,34.2542224005654,2.96197316320288,0,2.96197316320288
-236.705145525937,34.2530474786741,2.96201388892184,0,2.96201388892184
-236.705432797644,34.2518742118888,2.96205418903812,0,2.96205418903812
-236.705719146766,34.2507025971023,2.96209406529443,0,2.96209406529443
-236.706004582027,34.2495326312466,2.96213351953784,0,2.96213351953784
-236.7062891119,34.2483643112914,2.96217255371258,0,2.96217255371258
-236.70657274462,34.2471976342417,2.9622111698533,0,2.9622111698533
-236.706855488191,34.2460325971362,2.96224937007858,0,2.96224937007858
-236.707137350398,34.2448691970451,2.96228715658491,0,2.96228715658491
-236.707418338819,34.2437074310691,2.96232453164095,0,2.96232453164095
-236.707698460835,34.2425472963371,2.96236149758207,0,2.96236149758207
-236.707977723635,34.2413887900051,2.96239805680527,0,2.96239805680527
-236.708256134227,34.2402319092547,2.9624342117643,0,2.9624342117643
-236.708533699449,34.2390766512917,2.96246996496508,0,2.96246996496508
-236.70881042597,34.2379230133449,2.96250531896143,0,2.96250531896143
-236.709086320304,34.2367709926645,2.96254027635092,0,2.96254027635092
-236.709361388814,34.2356205865218,2.96257483977105,0,2.96257483977105
-236.709635637718,34.2344717922073,2.9626090118956,0,2.9626090118956
-236.709909073097,34.2333246070299,2.96264279543121,0,2.96264279543121
-236.710181700898,34.2321790283164,2.96267619311412,0,2.96267619311412
-236.710453526944,34.2310350534098,2.96270920770709,0,2.96270920770709
-236.710724556938,34.229892679669,2.96274184199656,0,2.96274184199656
-236.710994796463,34.228751904468,2.9627740987899,0,2.9627740987899
-236.711264250996,34.2276127251947,2.96280598091284,0,2.96280598091284
